Product Name,Region,Sales,Profit,Discount,Category,Date
Samsung Convoy 3,Central US,221.98,62.15,0,Technology,11/13/2014
"Novimex Executive Leather Armchair, Black",Oceania,3709.4,-288.77,0.1,Furniture,02-07-2014
"Nokia Smart Phone, with Caller ID",Oceania,5175.17,919.97,0.1,Technology,10/18/2014
"Motorola Smart Phone, Cordless",Western Europe,2892.51,-96.54,0.1,Technology,1/30/2014
"Sharp Wireless Fax, High-Speed",Western Africa,2832.96,311.52,0,Technology,11-06-2014
"Samsung Smart Phone, with Caller ID",Oceania,2862.68,763.28,0.1,Technology,07-01-2014
"Novimex Executive Leather Armchair, Adjustable",Oceania,1822.08,564.84,0,Furniture,11-08-2012
"Chromcraft Conference Table, Fully Assembled",Oceania,5244.84,996.48,0,Furniture,4/18/2013
"Sauder Facets Collection Library, Sky Alder Finish",Central US,341.96,54.71,0,Furniture,11/13/2014
"Global Push Button Manager's Chair, Indigo",Western US,48.71,5.48,0.2,Furniture,03-07-2012
Newell 330,Western US,17.94,4.66,0,Office Supplies,03-07-2012
"Bevis Conference Table, Fully Assembled",Southern Asia,4626.15,647.55,0,Furniture,4/22/2013
"Cisco Smart Phone, with Caller ID",Western Asia,2616.96,1151.4,0,Technology,12/28/2012
"Harbour Creations Executive Leather Armchair, Adjustable",South America,2221.8,622.02,0,Furniture,11/13/2013
"KitchenAid Microwave, White",Eastern Asia,3701.52,1036.08,0,Office Supplies,06-08-2014
"Breville Refrigerator, Red",Western Europe,1869.59,186.95,0.1,Office Supplies,08-03-2015
Akro Stacking Bins,Central US,12.62,-2.52,0.2,Office Supplies,2/25/2012
"Hoover Stove, Red",Southern Europe,7958.58,3979.08,0,Office Supplies,9/14/2015
"Brother Fax Machine, High-Speed",Oceania,2565.59,28.4,0.1,Technology,02-01-2015
"KitchenAid Stove, White",Eastern Africa,3409.74,818.28,0,Office Supplies,12-07-2015
"Hon Computer Table, with Bottom Storage",Eastern Europe,1977.72,276.84,0,Furniture,08-10-2013
"Carina 42""Hx23 3/4""W Media Storage Unit",Western US,242.94,4.86,0,Office Supplies,03-07-2012
"SAFCO Executive Leather Armchair, Black",Eastern Asia,2754,358.02,0,Furniture,05-02-2012
"KitchenAid Refrigerator, Black",Northern Europe,5273.7,1898.4,0,Office Supplies,03-01-2014
"Motorola Smart Phone, Full Size",Central America,1713.84,445.52,0,Technology,08-01-2015
"Hon Computer Table, Fully Assembled",Central America,2106.5,526.5,0.2,Furniture,09-08-2015
"Lesro Conference Table, with Bottom Storage",Eastern Asia,1715.16,720.36,0,Furniture,12/19/2012
"Hoover Stove, Red",Western Europe,3069.74,1364.24,0.1,Office Supplies,3/16/2012
Staples,Eastern US,247.84,121.44,0,Office Supplies,4/23/2012
"Office Star Executive Leather Armchair, Red",Southern Asia,1878.72,582.36,0,Furniture,2/24/2013
"Samsung Smart Phone, VoIP",Caribbean,1696.64,-148.46,0.2,Technology,12/29/2012
"Okidata Inkjet, Wireless",Western Europe,2402.87,763.16,0.15,Technology,7/19/2013
Geemarc AmpliPOWER60,Western US,668.16,75.17,0.2,Technology,12/31/2013
"Breville Stove, Red",Oceania,2526.93,561.48,0.1,Office Supplies,11-04-2012
Fellowes Super Stor/Drawer Files,Western US,323.1,61.39,0,Office Supplies,12/31/2013
"Apple Smart Phone, Full Size",Central Africa,3817.26,1068.66,0,Technology,9/14/2012
"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Western US,279.46,20.96,0.2,Furniture,5/18/2012
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",Eastern US,34.77,11.47,0,Technology,12/31/2012
"Brother Fax Machine, Laser",Northern Europe,4141.02,1697.67,0,Technology,1/18/2015
"Nokia Smart Phone, with Caller ID",Oceania,2875.1,511.1,0.1,Technology,01-11-2012
"Motorola Smart Phone, Full Size",Southeastern Asia,3200.6,-77.2,0.17,Technology,8/26/2014
"Motorola Smart Phone, with Caller ID",Southern Asia,4518.78,632.52,0,Technology,11/15/2015
"Sauder Classic Bookcase, Traditional",Southern Asia,5667.87,2097.03,0,Furniture,9/28/2015
"Motorola Smart Phone, Cordless",Northern Europe,5785.02,404.73,0,Technology,12/17/2013
"Cuisinart Stove, Silver",Western Europe,3018.62,377.24,0.2,Office Supplies,9/24/2012
